Hidden Sizes,Learning Rate,L2 Lambda,Momentum,Train Loss,Validation Loss,Test Loss
"[60, 60]",0.001,1e-05,0.5,0.583814±0.023254,0.692328±0.078787,0.654385
"[60, 60]",0.001,6e-05,0.5,0.586975±0.023252,0.695492±0.078786,0.657548
"[100, 100]",0.0001,0.0001,0.9,0.593162±0.020581,0.695493±0.089279,0.761045
"[60, 60]",0.001,0.0001,0.5,0.589504±0.023251,0.698019±0.078787,0.660077
"[120, 120]",0.0001,1e-05,0.9,0.619987±0.025529,0.728707±0.068567,0.877565
"[120, 120]",0.0001,6e-05,0.9,0.626107±0.025529,0.734826±0.068566,0.883684
"[120, 120]",0.0001,0.0001,0.9,0.631002±0.025528,0.739722±0.068566,0.88858
"[120, 120]",0.0006,1e-05,0.5,0.636607±0.024872,0.744721±0.064671,0.898307
"[120, 120]",0.0006,6e-05,0.5,0.642755±0.024883,0.750862±0.064685,0.904429
"[120, 120]",0.0006,0.0001,0.5,0.647652±0.024883,0.755759±0.064686,0.909326
"[80, 80]",0.0001,1e-05,0.9,0.877041±0.035336,1.015374±0.062757,1.180141
"[80, 80]",0.0001,6e-05,0.9,0.881184±0.035335,1.019518±0.062759,1.184282
"[80, 80]",0.0001,0.0001,0.9,0.884496±0.035334,1.022825±0.062758,1.187587
"[80, 80]",0.0006,1e-05,0.5,0.901071±0.044743,1.039609±0.079955,1.192608
"[80, 80]",0.0006,6e-05,0.5,0.905215±0.044740,1.043753±0.079957,1.196748
"[80, 80]",0.0006,0.0001,0.5,0.908529±0.044738,1.047065±0.079960,1.200052
"[60, 60]",0.0001,1e-05,0.9,0.902536±0.041518,1.050750±0.246800,1.009859
"[60, 60]",0.0001,6e-05,0.9,0.905675±0.041516,1.053891±0.246808,1.012991
"[60, 60]",0.0001,0.0001,0.9,0.908185±0.041514,1.056402±0.246808,1.015505
"[60, 60]",0.0006,1e-05,0.5,0.959161±0.046242,1.112763±0.275497,1.076191
"[60, 60]",0.0006,6e-05,0.5,0.962301±0.046239,1.115906±0.275501,1.079333
"[60, 60]",0.0006,0.0001,0.5,0.964813±0.046237,1.118418±0.275503,1.081847
"[120, 120]",0.0001,1e-05,0.5,3.393267±0.089542,3.519683±0.776201,4.25401
"[120, 120]",0.0001,6e-05,0.5,3.399323±0.089543,3.525740±0.776201,4.260066
"[120, 120]",0.0001,0.0001,0.5,3.404168±0.089544,3.530584±0.776201,4.264912
"[100, 100]",0.0001,1e-05,0.5,3.533240±0.090274,3.672368±0.775775,4.301241
"[100, 100]",0.0001,6e-05,0.5,3.538297±0.090275,3.677424±0.775775,4.306299
"[100, 100]",0.0001,0.0001,0.5,3.542342±0.090275,3.681470±0.775775,4.310345
"[80, 80]",0.0001,1e-05,0.5,3.928732±0.119331,4.051875±0.804459,4.60866
"[80, 80]",0.0001,6e-05,0.5,3.932806±0.119332,4.055949±0.804459,4.612734
"[80, 80]",0.0001,0.0001,0.5,3.936065±0.119333,4.059208±0.804459,4.615993
"[60, 60]",0.0001,1e-05,0.5,4.232343±0.167411,4.347847±1.003974,4.989317
"[60, 60]",0.0001,6e-05,0.5,4.235412±0.167412,4.350915±1.003973,4.992387
"[60, 60]",0.0001,0.0001,0.5,4.237867±0.167412,4.353370±1.003974,4.994842
