Hidden Sizes,Learning Rate,L2 Lambda,Momentum,Train Loss,Validation Loss
"[30, 30]",0.0005,1e-05,0.5,0.489533±0.019051,0.572540±0.082985
"[40, 40]",0.0005,0.0001,0.5,0.489676±0.020617,0.580329±0.043678
"[30, 30]",0.0005,6e-05,0.5,0.496701±0.014668,0.584075±0.082929
"[50, 50]",0.0001,0.0001,0.99,0.163369±0.016907,0.584397±0.132648
"[40, 40]",0.008,6e-05,0.5,0.144429±0.013899,0.589070±0.079952
"[50, 50]",0.008,0.0001,0.5,0.149353±0.007057,0.594142±0.059417
"[40, 40]",0.008,0.0001,0.5,0.155985±0.014848,0.598105±0.069969
"[50, 50]",0.008,0.0001,0.5,0.153388±0.013589,0.599891±0.056821
"[20, 20]",0.003,1e-05,0.99,0.145221±0.053601,0.604180±0.054284
"[20, 20]",0.003,6e-05,0.99,0.303580±0.157607,0.609190±0.080784
"[50, 50]",0.008,1e-05,0.5,0.132991±0.011774,0.626788±0.075966
"[20, 20]",0.003,0.0001,0.99,0.277714±0.084227,0.627236±0.075074
"[30, 30]",0.0001,6e-05,0.5,0.638889±0.003916,0.659510±0.040892
"[20, 20]",0.0001,1e-05,0.5,0.637863±0.010593,0.659732±0.056875
"[40, 40]",0.0001,0.0001,0.5,0.639583±0.008314,0.661701±0.068975
"[50, 50]",0.0001,6e-05,0.5,0.637330±0.009425,0.662849±0.077284
"[50, 50]",0.0001,1e-05,0.5,0.636079±0.006721,0.663620±0.032627
"[50, 50]",0.0001,0.0001,0.5,0.636031±0.008196,0.664077±0.053641
"[20, 20]",0.0005,1e-05,0.99,0.065858±0.012887,0.664578±0.046104
"[40, 40]",0.0001,6e-05,0.5,0.631289±0.004387,0.665444±0.051797
"[40, 40]",0.0001,1e-05,0.5,0.634496±0.009684,0.666366±0.070702
"[30, 30]",0.0001,1e-05,0.5,0.638830±0.005051,0.666393±0.058201
"[30, 30]",0.0001,0.0001,0.5,0.637232±0.008871,0.666629±0.110644
"[20, 20]",0.0001,0.0001,0.5,0.644173±0.005542,0.670459±0.075837
"[20, 20]",0.003,0.0001,0.9,0.121992±0.012492,0.670964±0.062636
"[20, 20]",0.0001,6e-05,0.5,0.641255±0.009177,0.673881±0.099270
"[20, 20]",0.003,1e-05,0.9,0.095091±0.011034,0.679814±0.087347
"[30, 30]",0.003,0.0001,0.9,0.080011±0.005086,0.685066±0.087491
"[20, 20]",0.001,6e-05,0.99,0.088081±0.016452,0.689612±0.107025
"[30, 30]",0.003,1e-05,0.9,0.055224±0.004904,0.696291±0.093390
"[20, 20]",0.001,1e-05,0.99,0.055953±0.009615,0.696509±0.070023
"[20, 20]",0.008,0.0001,0.9,0.099627±0.009519,0.696961±0.053665
"[20, 20]",0.005,6e-05,0.9,0.089143±0.006385,0.702696±0.065780
"[20, 20]",0.003,6e-05,0.9,0.102106±0.007369,0.705513±0.059321
"[20, 20]",0.008,0.0001,0.9,0.109991±0.015566,0.709330±0.063387
"[20, 20]",0.008,1e-05,0.9,0.068778±0.005313,0.713793±0.109563
"[20, 20]",0.005,1e-05,0.9,0.072086±0.005629,0.713815±0.073724
"[20, 20]",0.005,0.0001,0.9,0.100837±0.004718,0.713855±0.069157
"[20, 20]",0.0005,6e-05,0.99,0.083289±0.008999,0.719955±0.051941
"[30, 30]",0.003,6e-05,0.9,0.071089±0.004875,0.729321±0.123760
"[50, 50]",0.001,6e-05,0.99,0.032083±0.001657,0.734689±0.130335
"[20, 20]",0.008,1e-05,0.9,0.062385±0.005486,0.742604±0.157128
"[30, 30]",0.008,6e-05,0.9,0.050887±0.002469,0.748245±0.085246
"[30, 30]",0.008,6e-05,0.9,0.051376±0.005744,0.751060±0.040882
"[30, 30]",0.008,1e-05,0.9,0.027617±0.004238,0.754187±0.091074
"[40, 40]",0.003,0.0001,0.9,0.071474±0.010706,0.755282±0.088144
"[40, 40]",0.003,1e-05,0.9,0.042686±0.007350,0.757333±0.085194
"[30, 30]",0.001,1e-05,0.99,0.020557±0.005344,0.761514±0.089536
"[20, 20]",0.008,6e-05,0.9,0.081250±0.002069,0.762108±0.131815
"[50, 50]",0.003,1e-05,0.9,0.040001±0.008431,0.767070±0.056847
"[40, 40]",0.003,6e-05,0.9,0.055400±0.003896,0.768149±0.047827
"[20, 20]",0.008,6e-05,0.9,0.085906±0.006721,0.768469±0.129127
"[40, 40]",0.001,1e-05,0.99,0.010965±0.002458,0.770617±0.086465
"[20, 20]",0.0005,0.0001,0.99,0.094613±0.005134,0.770981±0.107258
"[20, 20]",0.001,0.0001,0.99,0.103553±0.023497,0.771248±0.100428
"[30, 30]",0.001,6e-05,0.99,0.042855±0.004708,0.773063±0.082035
"[30, 30]",0.008,1e-05,0.9,0.022984±0.002490,0.776444±0.119207
"[50, 50]",0.008,6e-05,0.9,0.044527±0.003087,0.780225±0.093611
"[30, 30]",0.005,0.0001,0.9,0.068117±0.004797,0.781430±0.100373
"[40, 40]",0.008,0.0001,0.9,0.063767±0.002790,0.783321±0.098031
"[50, 50]",0.003,0.0001,0.9,0.069112±0.002722,0.792541±0.027491
"[40, 40]",0.005,6e-05,0.9,0.037544±0.001082,0.796669±0.123603
"[40, 40]",0.001,0.0001,0.99,0.051152±0.001948,0.797756±0.053401
"[50, 50]",0.003,6e-05,0.9,0.049325±0.005963,0.803623±0.056050
"[50, 50]",0.005,0.0001,0.9,0.055939±0.006410,0.803976±0.069286
"[40, 40]",0.005,1e-05,0.9,0.022790±0.005344,0.805044±0.099610
"[50, 50]",0.001,1e-05,0.99,0.007115±0.001467,0.809425±0.045411
"[30, 30]",0.008,0.0001,0.9,0.073147±0.006262,0.812033±0.088332
"[30, 30]",0.0005,0.0001,0.99,0.056029±0.004270,0.813516±0.140953
"[30, 30]",0.005,6e-05,0.9,0.051530±0.004530,0.814348±0.084853
"[40, 40]",0.008,1e-05,0.9,0.017233±0.002755,0.814836±0.098062
"[40, 40]",0.008,6e-05,0.9,0.042061±0.003150,0.816976±0.090025
"[30, 30]",0.0005,6e-05,0.99,0.042587±0.005714,0.821825±0.064479
"[40, 40]",0.008,6e-05,0.9,0.040481±0.003095,0.822046±0.082478
"[50, 50]",0.008,6e-05,0.9,0.039374±0.001210,0.822708±0.047434
"[30, 30]",0.008,0.0001,0.9,0.071314±0.004198,0.823836±0.071764
"[50, 50]",0.008,0.0001,0.9,0.066271±0.009550,0.826012±0.062642
"[40, 40]",0.001,6e-05,0.99,0.037937±0.002912,0.826979±0.095076
"[40, 40]",0.0005,1e-05,0.99,0.015251±0.001398,0.838817±0.057049
"[50, 50]",0.008,1e-05,0.9,0.016177±0.003243,0.839494±0.010085
"[50, 50]",0.008,1e-05,0.9,0.018052±0.003317,0.842031±0.097180
"[50, 50]",0.008,0.0001,0.9,0.060611±0.002355,0.842649±0.122297
"[40, 40]",0.008,0.0001,0.9,0.061785±0.006393,0.844577±0.061239
"[50, 50]",0.005,6e-05,0.9,0.040074±0.003916,0.847477±0.081889
"[30, 30]",0.005,1e-05,0.9,0.032972±0.002561,0.857440±0.093158
"[30, 30]",0.0005,1e-05,0.99,0.023615±0.001929,0.866806±0.066092
"[30, 30]",0.001,0.0001,0.99,0.061793±0.007888,0.867998±0.113092
"[40, 40]",0.008,1e-05,0.9,0.018529±0.003795,0.868687±0.067057
"[50, 50]",0.0005,6e-05,0.99,0.028503±0.003210,0.873745±0.110336
"[40, 40]",0.0005,0.0001,0.99,0.045427±0.003795,0.874298±0.110909
"[40, 40]",0.005,0.0001,0.9,0.058115±0.004793,0.878721±0.172240
"[50, 50]",0.0005,1e-05,0.99,0.011808±0.002772,0.885002±0.145128
"[50, 50]",0.001,0.0001,0.99,0.052090±0.004347,0.885239±0.066334
"[30, 30]",0.003,6e-05,0.99,0.837959±0.251477,0.899739±0.241405
"[50, 50]",0.0005,0.0001,0.99,0.041109±0.001626,0.901976±0.065260
"[40, 40]",0.0005,6e-05,0.99,0.032998±0.002238,0.907549±0.104089
"[50, 50]",0.005,1e-05,0.9,0.019640±0.005910,0.921487±0.099887
"[30, 30]",0.003,1e-05,0.99,0.782629±0.189226,0.923952±0.202884
"[30, 30]",0.003,0.0001,0.99,0.806942±0.437053,1.002305±0.263868
"[20, 20]",0.005,1e-05,0.99,1.232145±0.224951,1.236146±0.249536
"[40, 40]",0.003,6e-05,0.99,1.250096±0.272098,1.245458±0.287353
"[40, 40]",0.005,1e-05,0.99,1.248230±0.329248,1.292115±0.354339
"[20, 20]",0.005,6e-05,0.99,1.414654±0.193699,1.350519±0.274488
"[40, 40]",0.003,0.0001,0.99,1.444593±0.413315,1.429566±0.405409
"[40, 40]",0.003,1e-05,0.99,1.408076±0.344530,1.451755±0.259471
"[30, 30]",0.005,0.0001,0.99,1.422371±0.210986,1.521134±0.184842
"[50, 50]",0.003,1e-05,0.99,1.571436±0.377484,1.555486±0.285993
"[20, 20]",0.008,1e-05,0.99,1.461154±0.298078,1.584198±0.335602
"[30, 30]",0.005,6e-05,0.99,1.689775±0.588053,1.717456±0.641119
"[20, 20]",0.008,1e-05,0.99,1.834584±0.566340,1.766477±0.608168
"[20, 20]",0.005,0.0001,0.99,1.973703±0.887565,1.810285±0.737928
"[50, 50]",0.003,6e-05,0.99,1.915204±1.293012,1.979876±1.313933
"[50, 50]",0.003,0.0001,0.99,1.834857±0.876015,1.992672±0.969312
"[20, 20]",0.008,6e-05,0.99,1.852797±0.323088,2.013518±0.439697
"[30, 30]",0.008,1e-05,0.99,2.025107±0.332688,2.096860±0.383844
"[20, 20]",0.008,0.0001,0.99,2.281994±0.554132,2.434686±0.580736
"[40, 40]",0.005,0.0001,0.99,2.452437±1.502114,2.467645±1.366338
"[30, 30]",0.005,1e-05,0.99,2.744642±2.175906,2.824224±2.088515
"[50, 50]",0.005,1e-05,0.99,2.899298±1.737395,2.992233±1.717073
"[20, 20]",0.008,6e-05,0.99,2.734798±0.825598,3.111936±1.003127
"[20, 20]",0.008,0.0001,0.99,3.090232±0.758086,3.485038±1.244854
"[30, 30]",0.008,1e-05,0.99,3.334857±2.846256,3.580129±3.254780
"[30, 30]",0.008,0.0001,0.99,4.147653±1.578022,4.553769±2.093979
"[40, 40]",0.005,6e-05,0.99,5.047949±3.042042,5.025075±2.913317
"[40, 40]",0.008,1e-05,0.99,5.132226±3.095333,5.482007±3.484654
"[50, 50]",0.008,1e-05,0.99,4.992358±2.396804,7.619311±7.259647
"[30, 30]",0.008,0.0001,0.99,13.207755±17.381002,13.530680±17.321058
"[30, 30]",0.008,6e-05,0.99,6.802405±6.761250,14.054324±17.029000
"[50, 50]",0.005,0.0001,0.99,15.703051±24.936404,17.317593±28.003327
"[50, 50]",0.005,6e-05,0.99,20.687582±30.964287,20.859961±30.849081
"[30, 30]",0.008,6e-05,0.99,69.009514±121.113257,56.371006±95.471977
"[40, 40]",0.008,6e-05,0.99,240.006421±474.409593,239.667701±473.555975
"[40, 40]",0.008,1e-05,0.99,703.334672±1400.929685,703.658616±1400.793403
"[50, 50]",0.008,1e-05,0.99,12142949.856286±15397482.822422,12145145.774246±15400984.880491
"[50, 50]",0.008,6e-05,0.99,2599037774.922524±5198075401.993118,2599038743.716365±5198077248.786187
"[40, 40]",0.008,6e-05,0.99,3294225188.703682±6588444087.228821,3294330667.298496±6588655033.427006
"[50, 50]",0.008,6e-05,0.99,132949636031.256805±263965142646.938232,132968238326.059128±263962001729.570831
"[40, 40]",0.008,0.0001,0.99,19744100093560.589844±39488198863039.515625,19745654599997.667969±39491307875888.750000
"[50, 50]",0.008,0.0001,0.99,197976588081913440.000000±395953176163808256.000000,197976587939611072.000000±395953175879203328.000000
"[40, 40]",0.008,0.0001,0.99,149497623665700010721280.000000±298995247331400021442560.000000,149497623665722525745152.000000±298995247331445085044736.000000
"[50, 50]",0.008,0.0001,0.99,15276656238540173038521758675988006305792.000000±30553312477080346077043517351976012611584.000000,15276656238540173038521758675988006305792.000000±30553312477080346077043517351976012611584.000000
