Hidden Sizes,Learning Rate,L2 Lambda,Momentum,Train Loss,Validation Loss,Test Loss
"[120, 120]",0.0001,6e-05,0.5,33.901508±1.203940,34.107251±4.696591,35.251609
"[120, 120]",0.0001,0.0001,0.5,33.906369±1.203939,34.112112±4.696591,35.256471
"[100, 100]",0.0001,1e-05,0.5,34.067329±1.183217,34.254343±4.671768,35.229277
"[100, 100]",0.0001,6e-05,0.5,34.072403±1.183217,34.259418±4.671768,35.234353
"[100, 100]",0.0001,0.0001,0.5,34.076463±1.183216,34.263477±4.671768,35.238414
"[80, 80]",0.0001,1e-05,0.5,36.899440±1.183242,37.073272±4.789363,37.737419
"[80, 80]",0.0001,6e-05,0.5,36.903512±1.183242,37.077344±4.789363,37.741493
"[80, 80]",0.0001,0.0001,0.5,36.906769±1.183242,37.080602±4.789363,37.744752
"[60, 60]",0.0001,1e-05,0.5,39.176461±1.183178,39.327261±4.973806,39.772263
"[60, 60]",0.0001,6e-05,0.5,39.179530±1.183178,39.330331±4.973806,39.775334
"[60, 60]",0.0001,0.0001,0.5,39.181986±1.183178,39.332787±4.973806,39.777791
